timestamp_ms,temperature_c,humidity_percent,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
224151,2.50,20.60,-0.04,-0.02,1.06,0.09,1.45,1.56
225151,2.50,20.60,-0.04,-0.02,1.06,0.06,1.40,1.48
226151,2.40,20.60,-0.04,-0.03,1.07,0.02,1.27,1.66
227151,2.40,20.60,-0.04,-0.03,1.07,-0.11,1.39,1.50
228151,2.40,20.60,-0.04,-0.02,1.07,0.02,1.36,1.50
229151,2.40,20.60,-0.04,-0.02,1.06,0.00,1.36,1.63
230151,2.40,20.60,-0.04,-0.03,1.06,-0.02,1.34,1.48
231151,2.40,20.60,-0.04,-0.02,1.06,0.08,1.54,1.53
232151,2.50,20.60,-0.03,-0.02,1.06,0.05,1.30,1.56
233151,2.50,20.60,-0.04,-0.03,1.07,-0.09,1.24,1.54
234151,2.50,20.70,-0.04,-0.02,1.07,-0.11,1.28,1.45
235151,2.50,20.70,-0.03,-0.03,1.07,0.14,1.30,1.56
236151,2.40,20.70,-0.03,-0.03,1.07,-0.02,1.39,1.51
237151,2.40,20.70,-0.03,-0.02,1.07,0.06,1.27,1.40
238151,2.40,20.70,-0.04,-0.02,1.07,0.09,1.15,1.42
239151,2.40,20.70,-0.04,-0.03,1.07,-0.06,1.24,1.56
240151,2.40,20.80,-0.04,-0.03,1.07,0.02,1.47,1.60
241151,2.40,20.80,-0.04,-0.02,1.07,-0.06,1.24,1.57
242151,2.50,20.70,-0.04,-0.02,1.07,0.11,1.51,1.54
243151,2.50,20.70,-0.04,-0.02,1.06,-0.03,1.36,1.47
244151,2.50,20.70,-0.04,-0.03,1.07,-0.02,1.34,1.54
245151,2.50,20.70,-0.04,-0.02,1.07,-0.02,1.37,1.56
246151,2.50,20.70,-0.04,-0.02,1.07,-0.06,1.50,1.53
247151,2.50,20.70,-0.04,-0.03,1.07,0.00,1.31,1.56
248151,2.40,20.70,-0.04,-0.02,1.06,0.00,1.44,1.76
249151,2.40,20.70,-0.03,-0.03,1.07,0.03,1.59,1.53
250151,2.40,20.70,-0.05,-0.02,1.04,0.15,2.18,1.47
251151,2.40,20.70,-0.04,-0.03,1.07,0.06,1.02,1.69
252151,2.40,20.70,-0.04,-0.03,1.06,-0.03,1.30,1.54
253151,2.40,20.70,-0.03,-0.02,1.07,0.05,1.16,1.53
254151,2.50,20.80,-0.05,-0.02,1.07,-0.06,1.24,1.45
255151,2.50,20.80,-0.04,-0.02,1.07,0.09,1.34,1.45
256151,2.50,20.70,-0.03,-0.02,1.07,-0.11,1.33,1.39
257151,2.50,20.70,-0.04,-0.02,1.07,0.02,1.40,1.63
258151,2.40,20.70,-0.04,-0.02,1.07,-0.02,1.28,1.45
259151,2.40,20.70,-0.04,-0.02,1.08,-0.11,1.39,1.66
260151,2.50,20.80,-0.03,-0.02,1.07,-0.03,1.47,1.60
261151,2.50,20.80,-0.04,-0.03,1.08,-0.06,1.33,1.51
262151,2.50,20.80,-0.05,-0.03,1.06,-0.09,1.73,1.57
263151,2.50,20.80,-0.04,-0.02,1.06,0.03,1.36,1.53
264151,2.50,20.80,-0.04,-0.02,1.07,-0.02,1.44,1.57
265151,2.50,20.80,-0.04,-0.02,1.07,-0.02,1.39,1.51
266151,2.50,20.80,-0.03,-0.02,1.05,0.31,1.86,1.79
267151,2.50,20.80,-0.04,-0.03,1.06,-0.09,1.59,1.53
268151,2.50,20.80,-0.02,-0.04,1.06,0.11,1.31,1.50
269151,2.50,20.80,-0.04,-0.03,1.07,-0.05,1.66,1.76
270151,2.50,20.80,-0.04,-0.02,1.07,0.05,1.15,1.51
271151,2.50,20.80,-0.03,-0.03,1.07,-0.14,1.37,1.60
272151,2.50,20.80,-0.03,-0.02,1.06,-0.08,1.37,1.66
273151,2.50,20.80,-0.03,-0.02,1.07,-0.05,1.16,1.56
274151,2.50,20.80,-0.04,-0.02,1.07,0.06,1.33,1.48
275151,2.50,20.80,-0.04,-0.02,1.07,0.00,1.40,1.54
