timestamp_ms,temperature_c,humidity_percent,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
331151,2.40,20.60,-0.04,-0.02,1.07,-0.05,1.42,1.53
332151,2.50,20.60,-0.03,-0.03,1.07,-0.08,1.34,1.51
333151,2.50,20.60,-0.04,-0.03,1.07,-0.03,1.31,1.59
334151,2.40,20.60,-0.04,-0.02,1.07,0.02,1.36,1.51
335151,2.40,20.60,-0.04,-0.03,1.06,-0.05,1.48,1.51
336151,2.50,20.60,-0.04,-0.03,1.07,-0.02,1.33,1.56
337151,2.50,20.60,-0.04,-0.02,1.07,-0.05,1.65,1.57
338151,2.50,20.60,-0.04,-0.03,1.07,-0.03,0.90,1.44
339151,2.50,20.60,-0.04,-0.02,1.07,-0.02,1.21,1.59
340151,2.50,20.60,-0.04,-0.03,1.07,0.05,1.36,1.66
341151,2.50,20.60,-0.04,-0.02,1.07,-0.05,1.40,1.54
342151,2.50,20.60,-0.03,-0.03,1.07,0.03,1.24,1.56
343151,2.50,20.60,-0.03,-0.02,1.07,-0.02,1.31,1.53
344151,2.50,20.60,-0.04,-0.03,1.07,0.06,1.44,1.42
345151,2.50,20.60,-0.03,-0.03,1.06,0.02,1.45,1.62
346151,2.40,20.60,-0.04,-0.02,1.07,-0.11,1.33,1.59
347151,2.40,20.60,-0.04,-0.03,1.07,0.00,1.27,1.53
348151,2.50,20.60,-0.04,-0.04,1.07,0.12,0.98,1.63
349151,2.50,20.60,-0.03,-0.02,1.06,0.02,1.25,1.53
350151,2.50,20.70,-0.02,-0.02,1.07,0.18,1.15,1.50
351151,2.50,20.70,-0.04,-0.01,1.07,-0.02,2.18,1.59
352151,2.50,20.80,-0.05,-0.02,1.04,0.12,1.65,1.39
353151,2.50,20.80,-0.03,-0.03,1.07,0.03,1.16,1.48
354151,2.50,20.90,-0.03,-0.02,1.07,-0.11,1.16,1.56
355151,2.50,20.90,-0.02,-0.02,1.07,0.08,1.37,1.63
356151,2.50,20.90,-0.04,-0.03,1.07,-0.02,1.07,1.51
357151,2.50,20.90,-0.04,-0.02,1.07,-0.05,1.37,1.51
358151,2.40,20.90,-0.04,-0.02,1.06,-0.03,1.51,1.57
359151,2.40,20.90,-0.04,-0.02,1.07,0.02,1.33,1.66
360151,2.40,20.90,-0.03,-0.02,1.07,-0.05,1.45,1.57
361151,2.40,20.90,-0.04,-0.02,1.07,-0.12,1.45,1.68
362151,2.50,20.90,-0.04,-0.02,1.07,0.02,1.33,1.48
363151,2.50,20.90,-0.04,-0.02,1.07,-0.05,1.34,1.50
364151,2.50,20.80,-0.04,-0.02,1.07,-0.06,1.42,1.51
365151,2.50,20.80,-0.03,-0.02,1.07,-0.08,1.39,1.57
366151,2.50,20.80,-0.04,-0.03,1.07,-0.03,1.39,1.63
367151,2.50,20.80,-0.03,-0.02,1.07,0.02,1.31,1.51
368151,2.50,20.80,-0.04,-0.02,1.07,0.02,1.30,1.63
369151,2.50,20.80,-0.04,-0.03,1.07,-0.11,1.42,1.51
370151,2.50,20.80,-0.03,-0.02,1.07,-0.08,1.30,1.47
371151,2.50,20.80,-0.03,-0.03,1.07,0.02,1.31,1.56
372151,2.50,20.80,-0.04,-0.03,1.07,0.05,1.42,1.54
373151,2.50,20.80,-0.04,-0.02,1.09,-0.27,0.72,1.50
374151,2.40,20.80,-0.02,-0.02,1.07,0.00,0.40,1.54
375151,2.40,20.80,-0.03,-0.02,1.07,-0.11,1.40,1.65
376151,2.50,20.70,-0.04,-0.02,1.07,-0.02,1.47,1.47
377151,2.50,20.70,-0.03,-0.03,1.07,-0.09,1.21,1.51
378151,2.40,20.70,-0.03,-0.01,1.05,0.08,1.56,1.56
379151,2.40,20.70,-0.04,-0.02,1.07,-0.11,1.08,1.47
380151,2.50,20.70,-0.03,-0.02,1.05,0.12,1.63,1.57
381151,2.50,20.70,-0.02,-0.01,1.07,0.05,1.37,1.44
382151,2.40,20.80,-0.03,-0.03,1.07,-0.08,1.48,1.63
383151,2.40,20.80,-0.04,-0.02,1.07,-0.02,1.31,1.48
384151,2.50,20.80,-0.05,-0.02,1.07,-0.09,1.68,1.53
385151,2.50,20.80,-0.03,-0.03,1.07,0.00,1.16,1.59
386151,2.50,20.80,-0.04,-0.02,1.07,0.02,1.42,1.53
387151,2.50,20.80,-0.04,-0.02,1.06,0.00,1.39,1.57
388151,2.50,20.70,-0.04,-0.02,1.07,-0.06,1.33,1.48
389151,2.50,20.70,-0.04,-0.02,1.07,-0.06,1.27,1.63
390151,2.50,20.70,-0.03,-0.02,1.07,-0.05,1.31,1.54
391151,2.50,20.70,-0.04,-0.03,1.07,-0.05,1.34,1.57
392151,2.50,20.60,-0.04,-0.03,1.06,0.02,1.30,1.62
393151,2.50,20.60,-0.04,-0.02,1.07,0.00,1.27,1.53
394151,2.50,20.70,-0.04,-0.03,1.08,-0.03,1.22,1.50
395151,2.50,20.70,-0.04,-0.02,1.07,0.00,1.33,1.68
396151,2.50,20.70,-0.04,-0.02,1.07,0.03,1.34,1.56
397151,2.50,20.70,-0.03,-0.02,1.07,-0.08,1.40,1.51
398151,2.50,20.60,-0.03,-0.02,1.07,-0.09,1.62,1.51
