timestamp_ms,temperature_c,humidity_percent,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_mag_g,gyro_mag_dps,accel_mag_mean,accel_mag_std,accel_mag_rms,accel_mag_max,accel_mag_min,gyro_mag_mean,gyro_mag_std,gyro_mag_rms,gyro_mag_max,gyro_mag_min,accel_z_std,gyro_z_std,temp_change_rate,humidity_change_rate
331151,2.4,20.6,-0.04,-0.02,1.07,-0.05,1.42,1.53,1.0709341716464182,2.088013409918624,1.0709341716464182,0.0,1.0709341716464182,1.0709341716464182,1.0709341716464182,2.088013409918624,0.0,2.088013409918624,2.088013409918624,2.088013409918624,0.0,0.0,0.0,0.0
332151,2.5,20.6,-0.03,-0.03,1.07,-0.08,1.34,1.51,1.0708407911543154,2.020420748260124,1.0708874814003668,6.602997919645129e-05,1.0708874824182044,1.0709341716464182,1.0708407911543154,2.054217079089374,0.04779522941717321,2.054495071787713,2.088013409918624,2.020420748260124,0.0,0.014142135623730963,0.10000000000000009,0.0
333151,2.5,20.6,-0.04,-0.03,1.07,-0.03,1.31,1.59,1.071167587261676,2.060364045502639,1.0709808500208033,0.0001683243206519042,1.0709808588392231,1.071167587261676,1.0708407911543154,2.056266067893796,0.03398215771374802,2.0564532574313477,2.088013409918624,2.020420748260124,0.0,0.04163331998932266,0.0,0.0
334151,2.4,20.6,-0.04,-0.02,1.07,0.02,1.36,1.51,1.0709341716464182,2.032264746532794,1.070969180427207,0.00013940385793592195,1.070969187231827,1.071167587261676,1.0708407911543154,2.0502657375535454,0.030230347092889152,2.050432881125349,2.088013409918624,2.020420748260124,0.0,0.03785938897200186,-0.10000000000000009,0.0
335151,2.4,20.6,-0.04,-0.03,1.06,-0.05,1.48,1.51,1.0611785900591852,2.114946807841748,1.0690110623536024,0.00438014920152096,1.0690182411914213,1.071167587261676,1.0611785900591852,2.0632019516111857,0.03901453043089071,2.063497031740051,2.114946807841748,2.020420748260124,0.004472135954999583,0.03464101615137759,0.0,0.0
336151,2.5,20.6,-0.04,-0.03,1.07,-0.02,1.33,1.56,1.071167587261676,2.050097558654222,1.069057745476654,0.004406931525094211,1.0690650120549265,1.071167587261676,1.0611785900591852,2.0556187813583056,0.03659620415760188,2.0558793738933225,2.114946807841748,2.020420748260124,0.004472135954999583,0.03714835124201346,0.10000000000000009,0.0
337151,2.5,20.6,-0.04,-0.02,1.07,-0.05,1.65,1.57,1.0709341716464182,2.278135202309117,1.0690764215750748,0.0044165643085481215,1.0690837198274044,1.071167587261676,1.0611785900591852,2.107161672168104,0.10043460151835552,2.1090756269038815,2.278135202309117,2.032264746532794,0.004472135954999583,0.03633180424916995,0.0,0.0
338151,2.5,20.6,-0.04,-0.03,1.07,-0.03,0.9,1.44,1.071167587261676,1.6983815825661794,1.0690764215750748,0.0044165643085481215,1.0690837198274046,1.071167587261676,1.0611785900591852,2.0347651795808117,0.21157346231707067,2.043545937824741,2.278135202309117,1.6983815825661794,0.004472135954999583,0.05167204273105532,0.0,0.0
339151,2.5,20.6,-0.04,-0.02,1.07,-0.02,1.21,1.59,1.0709341716464182,1.9981491435826306,1.0690764215750748,0.0044165643085481215,1.0690837198274044,1.071167587261676,1.0611785900591852,2.0279420589907793,0.21222336516109244,2.036806323635117,2.278135202309117,1.6983815825661794,0.004472135954999583,0.06024948132556835,0.0,0.0
340151,2.5,20.6,-0.04,-0.03,1.07,0.05,1.36,1.66,1.071167587261676,2.146555380138141,1.0710742210155728,0.00012784699775038699,1.071074227119671,1.071167587261676,1.0709341716464182,2.034263773450058,0.21590188752281517,2.0434089164922424,2.278135202309117,1.6983815825661794,0.0,0.07956129712366435,0.0,0.0
341151,2.5,20.6,-0.04,-0.02,1.07,-0.05,1.4,1.54,1.0709341716464182,2.0818501386987487,1.0710275378925211,0.0001278469977503414,1.0710275439968853,1.071167587261676,1.0709341716464182,2.0406142894589636,0.2169485009624696,2.049819504249094,2.278135202309117,1.6983815825661794,0.0,0.08031189202104506,0.0,0.0
342151,2.5,20.6,-0.03,-0.03,1.07,0.03,1.24,1.56,1.0708407911543154,1.993012794740666,1.0710088617941007,0.00014982700390216692,1.0710088701780207,1.071167587261676,1.0708407911543154,1.9835898079452732,0.17165180531978888,1.9895225557907101,2.146555380138141,1.6983815825661794,0.0,0.08012490249604053,0.0,0.0
343151,2.5,20.6,-0.03,-0.02,1.07,-0.02,1.31,1.53,1.07060730429042,2.0142988854685893,1.0708968051998498,0.00020190578094902815,1.0708968204266927,1.071167587261676,1.07060730429042,2.0467732685257554,0.06613610254994062,2.0476278958834295,2.146555380138141,1.993012794740666,0.0,0.052249401910452464,0.0,0.0
344151,2.5,20.6,-0.04,-0.03,1.07,0.06,1.44,1.42,1.071167587261676,2.0232646885664765,1.0709434883229012,0.00023669277624757738,1.0709435092478035,1.071167587261676,1.07060730429042,2.0517963775225243,0.06236610843886912,2.05255450597542,2.146555380138141,1.993012794740666,0.0,0.08555699854482975,0.0,0.0
345151,2.5,20.6,-0.03,-0.03,1.06,0.02,1.45,1.62,1.0608487168300673,2.174235497824465,1.0688797142365796,0.004493953372104964,1.068887271886049,1.071167587261676,1.0608487168300673,2.0573324010597895,0.07317266864720738,2.0583731440144666,2.174235497824465,1.993012794740666,0.004472135954999583,0.07266360849833985,0.0,0.0
346151,2.4,20.6,-0.04,-0.02,1.07,-0.11,1.33,1.59,1.0709341716464182,2.0758371805129614,1.0688797142365796,0.004493953372104964,1.0688872718860487,1.071167587261676,1.0608487168300673,2.0561298094226315,0.07271697535353232,2.057158234069514,2.174235497824465,1.993012794740666,0.004472135954999583,0.07700649323271384,-0.10000000000000009,0.0
347151,2.4,20.6,-0.04,-0.03,1.07,0.0,1.27,1.53,1.071167587261676,1.9884164553734713,1.0689450734580515,0.004531822172292966,1.0689527585445486,1.071167587261676,1.0608487168300673,2.055210541549193,0.07373626910376715,2.056268464962686,2.174235497824465,1.9884164553734713,0.004472135954999583,0.07661592523751186,0.0,0.0
348151,2.5,20.6,-0.04,-0.04,1.07,0.12,0.98,1.63,1.0714942836991712,1.905701970403557,1.0691224693398018,0.00462946443512066,1.0691304878264394,1.0714942836991712,1.0608487168300673,2.033491158536186,0.10008563929929748,2.035460635826692,2.174235497824465,1.905701970403557,0.004472135954999583,0.08642916174532754,0.10000000000000009,0.0
349151,2.5,20.6,-0.03,-0.02,1.06,0.02,1.25,1.53,1.0606130302801302,1.9758036339677079,1.0670115579434927,0.005737509804016407,1.067023898513993,1.0714942836991712,1.0606130302801302,2.0239989476164326,0.10349070035257793,2.026114508116459,2.174235497824465,1.905701970403557,0.005477225575051676,0.047958315233126894,0.0,0.0
350151,2.5,20.7,-0.02,-0.02,1.07,0.18,1.15,1.5,1.0703737664946764,1.8986574203894708,1.0689165678764145,0.004659790674869832,1.0689246933250258,1.0714942836991712,1.0606130302801302,1.9688833321294337,0.07209736873577856,1.969939085352641,2.0758371805129614,1.8986574203894708,0.004472135954999583,0.05272570530585612,0.0,0.09999999999999787
